title,resume,Issue key,Issue id,Parent id,labels,Type de demande,Etat,Project description,Project url,Priorité,state,Responsable,Rapporteur,Créateur,Étiquettes,description,Descriptif,Environnement,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Estimation originale,Estimation restante,Temps consacré,Ratio du travail réel comparé à l'estimation,Σ Estimation originale,Σ Estimation restante,Σ Temps consacré,Niveau de sécurité,Outward issue link (Blocks),Outward issue link (Duplicate),Outward issue link (Relates),Pièce jointe,Pièce jointe,Pièce jointe,Pièce jointe,Custom field (Account),Custom field (Business Value),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Iteration),Custom field (Parent Link),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire
CNED-1 Etape 1 : migration de Tesseract en JS,Etape 1 : migration de Tesseract en JS,CNED-1,11903,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-4,,US 2323 - Traitement OCR côté Navigateur,Done,,,,,0|i003jj:,,,,,,,Not started,2016-10-10 11:54:44.723,10/oct./16 11:54 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-2 Intégration du module OCR JS dans l'application CNED Adapt,Intégration du module OCR JS dans l'application CNED Adapt,CNED-2,11904,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,US 2409 - Traitement OCR côté Navigateur (Intégration),Done,,,,,0|i003jr:,,,,,,,Not started,2016-10-10 11:55:15.726,10/oct./16 11:55 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-3 Mise en place d'un éditeur de texte pour la création de documents,Mise en place d'un éditeur de texte pour la création de documents,CNED-3,11905,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,US 2183 -  Implémenter un éditeur de texte dans Cned Adapt (1/2),Done,,,,,0|i003jz:,,,,,,,Not started,2016-10-10 11:56:19.332,10/oct./16 11:56 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-4 Mise à niveau guide utilisateur de CNED Adapt,Mise à niveau guide utilisateur de CNED Adapt,CNED-4,11906,,Épopée/A faire/Majeur/,Épopée,A faire,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,US 2405 -  Guide utilisateur de CNED Adapt,Done,,,,,0|i003k7:,,,,,,,Not started,,,,,,,,,,,,,,
CNED-5 Installation et rédaction du guide d'installation de CNED Adapt,Installation et rédaction du guide d'installation de CNED Adapt,CNED-5,11907,,Épopée/A faire/Majeur/,Épopée,A faire,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,US 2399 -  Environnement technique de CNED Adapt,Done,,,,,0|i003kf:,,,,,,,Not started,,,,,,,,,,,,,,
CNED-6 Montée en compétence GBA,Montée en compétence GBA,CNED-6,11908,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,jetessie,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,06/août/15 12:00 PM,jetessie,43200,,10/août/15 11:17 AM,jetessie,57600,,,,,,57600,0,100800,175%,57600,0,100800,,,,,,,,,,,,CNED-1,,,,,,,0|i003p7:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-7 Création d'un schéma d'architecture du module d'OCR ,Création d'un schéma d'architecture du module d'OCR ,CNED-7,11909,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,10/août/15 11:17 AM,jetessie,28800,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,CNED-1,,,,,,,0|i003p9:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-8 Définition des tests à exécuter sur le module OCR,Définition des tests à exécuter sur le module OCR,CNED-8,11910,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,wpetit,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 10:02 AM,wpetit,14400,,26/août/15 10:04 AM,wpetit,14400,,,,,,28800,0,28800,100%,43200,0,57600,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-9 Exécution des tests du module d'OCR,Exécution des tests du module d'OCR,CNED-9,11911,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 6:04 PM,mspegagn,3600,,27/août/15 3:38 PM,wpetit,60,,,,,,57600,0,3660,6%,57600,0,3660,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:i,Sprint 1,,,,,,Not started,,,,,,,,
CNED-10 Etude d'impact d'intégration du module d'OCR dans CNED Adapt,Etude d'impact d'intégration du module d'OCR dans CNED Adapt,CNED-10,11912,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,wpetit,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 10:03 AM,wpetit,14400,,26/août/15 10:04 AM,wpetit,14400,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:r,Sprint 1,,,,,,Not started,,,,,,,,
CNED-11 Intégration du module OCR dans CNED Adapt,Intégration du module OCR dans CNED Adapt,CNED-11,11913,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,25/août/15 6:01 PM,mspegagn,3600,,26/août/15 9:59 AM,mspegagn,7200,,26/août/15 4:41 PM,mspegagn,14400,,,,,57600,0,25200,43%,57600,0,25200,,,,,,,,,,,,CNED-2,,,,,,,0|i003pa:v,Sprint 1,,,,,,Not started,,,,,
CNED-12 Exécution des tests du module OCR dans CNED Adapt,Exécution des tests du module OCR dans CNED Adapt,CNED-12,11914,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,43200,0,,0%,43200,0,,,,,,,,,,,,,CNED-2,,,,,,,0|i003pi:w,Sprint 1,,,,,,Not started,,,,,,,,,,,,,,
"CNED-13 Etude d'impact, maquettage et rédaction des spécifications","Etude d'impact, maquettage et rédaction des spécifications",CNED-13,11915,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,05/août/15 11:25 AM,mspegagn,14400,,05/août/15 3:45 PM,mspegagn,14400,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,CNED-3,,,,,,,0|i003m7:,Sprint 1,,1.0,,,,Not started,,,,,,,,
CNED-15 Création de la page Nouveau Document,Création de la page Nouveau Document,CNED-15,11917,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,,,,,158400,0,180000,,,,,,,,,,,,CNED-3,,,,,,,0|i003mn:,Sprint 1,,,,,,Not started,,,,,,,,,,,,,,
CNED-16 Création du nouveau écran,Création du nouveau écran,CNED-16,11918,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,11/août/15 9:45 AM,mspegagn,28800,,,,,,,14400,0,28800,200%,14400,0,28800,,,,,,,,,,,,,,,,,,,0|i003mv:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-17 Intégration de ckeditor,Intégration de ckeditor,CNED-17,11919,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,11/août/15 2:50 PM,mspegagn,7200,,,,,,,7200,0,7200,100%,7200,0,7200,,,,,,,,,,,,,,,,,,,0|i003n3:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-18 Paramétrage de l'éditeur,Paramétrage de l'éditeur,CNED-18,11920,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,11/août/15 2:54 PM,mspegagn,7200,,,,,,,7200,0,7200,100%,7200,0,7200,,,,,,,,,,,,,,,,,,,0|i003nb:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-19 Création du plugin OUvrir,Création du plugin OUvrir,CNED-19,11921,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,14/août/15 9:26 AM,jetessie,14400,,,,,,,28800,0,14400,50%,28800,0,14400,,,,,,,,,,,,,,,,,,,0|i003nj:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-20 Création du plugin Enregistrer,Création du plugin Enregistrer,CNED-20,11922,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,13/août/15 9:07 AM,jetessie,43200,,13/août/15 10:31 AM,mspegagn,14400,,,,,,28800,0,57600,200%,28800,0,57600,,,,,,,,,,,,,,,,,,,0|i003nr:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-21 Création plugin bandes G/D,Création plugin bandes G/D,CNED-21,11923,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,07/août/15 2:48 PM,mspegagn,28800,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,0|i003nz:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-22 Binding styles profil dans éditeur,Binding styles profil dans éditeur,CNED-22,11924,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,17/août/15 3:01 PM,mspegagn,7200,,17/août/15 5:27 PM,mspegagn,7200,,,,,,14400,0,14400,100%,14400,0,14400,,,,,,,,,,,,,,,,,,,0|i003o7:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-23 Plugin aperçu,Plugin aperçu,CNED-23,11925,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,14/août/15 5:01 PM,mspegagn,7200,,17/août/15 5:28 PM,mspegagn,3600,,20/août/15 9:12 AM,mspegagn,3600,,,,,14400,0,14400,100%,14400,0,14400,,,,,,,,,,,,,,,,,,,0|i003of:,Sprint 1,,,,,,Not started,,,,,
CNED-24 Gestion du bouton Fermer,Gestion du bouton Fermer,CNED-24,11926,11917,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,17/août/15 11:56 AM,mspegagn,7200,,,,,,,14400,0,7200,50%,14400,0,7200,,,,,,,,,,,,,,,,,,,0|i003on:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-26 Injection du contenu d'un fichier HTML,Injection du contenu d'un fichier HTML,CNED-26,11928,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,14/août/15 9:27 AM,jetessie,14400,,,,,,,28800,0,14400,50%,28800,0,14400,,,,,,,,,,,,CNED-3,,,,,,,0|i003p3:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-27 Injection du contenu d'un fichier epub,Injection du contenu d'un fichier epub,CNED-27,11929,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,14/août/15 3:04 PM,mspegagn,7200,,18/août/15 6:18 PM,mspegagn,14400,,19/août/15 9:12 AM,mspegagn,3600,,,,,14400,0,25200,175%,14400,0,25200,,,,,,,,,,,,CNED-3,,,,,,,0|i003pb:,Sprint 1,,,,,,Not started,,,,,
CNED-28 Tests sur IE10,Tests sur IE10,CNED-28,11947,11910,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,27/août/15 3:40 PM,mspegagn,7200,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,0|i003pj:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-29 Tests IE11,Tests IE11,CNED-29,11948,11910,Sous-tâche/Fait (à livrer)/Majeur/Terminé,Sous-tâche,Fait (à livrer),,,Majeur,Terminé,wpetit,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,27/août/15 10:45 AM,wpetit,7200,,,,,,,7200,0,7200,100%,7200,0,7200,,,,,,,,,,,,,,,,,,,0|i003pr:,Sprint 1,,,,,,Not started,,,,,,,,,,,
